MassOfAM107HighExplosiveArtilleryShell,gram,The mass of a M107 High Explosive Artillery Shell,times the mass of a M107 High Explosive Artillery Shell,M107 High Explosive Artillery Shells,M107 High Explosive Artillery Shells,M107 High Explosive Artillery Shell,43200
MassOfACybertruck,gram,The mass of a Cybertruck,times the mass of a Cybertruck,Cybertrucks,Cybertrucks,Cybertruck,3020925
MassOfAM1AbramsMainBattleTank,gram,The mass of a M1 Abrams Main Battle Tank,times the mass of a M1 Abrams Main Battle Tank,M1 Abrams Main Battle Tanks,M1 Abrams Main Battle Tanks,M1 Abrams Main Battle Tank,55000000
MassOfABoeing747-400,gram,The mass of a Boeing 747-400,times the mass of a Boeing 747-400,Boeing 747-400 planes,Boeing 747-400 planes,Boeing 747-400 plane,187000000
GrossMassOfSaturnVRocket,gram,The mass of a Saturn V Rocket,times the mass of a Saturn V Rocket,Saturn V Rockets,Saturn V Rockets,Saturn V Rocket,3038500000
MassOfUSSTheodoreRooseveltAircraftCarrier,gram,The mass of the USS Theodore Roosevelt Aircraft Carrier,times the mass of the USS Theodore Roosevelt Aircraft Carrier,USS Theodore Roosevelt Aircraft Carriers,USS Theodore Roosevelt Aircraft Carriers,USS Theodore Roosevelt Aircraft Carrier,106278500000
MassOfTheEmpireStateBuilding,gram,The mass of the Trump International Hotel and Tower,times the mass of the Trump International Hotel and Tower,Trump International Hotel and Tower masses,Trump International Hotel and Tower masses,Trump International Hotel and Tower mass,360000000000
TotalMassOfAllSchoolBusesInTheUS,gram,The mass of all of the School Buses in the United States,times the mass of all of the School Buses in the United States,times the mass of all of the School Buses in the United States,Total masses of U.S. School buses,Total mass of U.S. School buses,6640592296800
TotalMassOfBuildingsInNewYorkCity,gram,The mass of all of the buildings in New York City,times the mass of all of the buildings in New York City,times the mass of all of the buildings in New York City,Total New York City building masses,Total New York City building mass,764000000000000
GolfBallVolume,liter,The volume of a golf ball,times the volume of a golf ball,golf balls,golf balls,golf ball,0.04
SmallCocaColaCan,liter,The volume of a small Coca-Cola can,times the volume of a small Coca-Cola can,small Coca-Cola cans,small Coca-Cola cans,small Coca-Cola can,0.22
AmericanFootballVolume,liter,The volume of a Football,times the volume of a Football,Footballs,Footballs,Football,4.50
VolumeOfAKFCBucket,liter,The volume of a KFC Bucket,times the volume of a KFC Bucket,KFC Buckets,KFC Buckets,KFC Bucket,5.03
VolumeOfAmazonBox,liter,The volume of a 1A9 (B48) Amazon Box,times the volume of a 1A9 (B48) Amazon Box,B48 Amazon Boxes,B48 Amazon Boxes,B48 Amazon Box,27.24
TrunkSpaceOfABMW2021X1SUV,liter,The trunk space of a BMW 2021 X1 SUV,times the trunk space of a BMW 2021 X1 SUV,BMW 2021 X1 SUV Trunks,BMW 2021 X1 SUV Trunks,BMW 2021 X1 SUV Trunk,1214.79
HabitableSpaceInsideOrionCapsule,liter,The habitable space inside the Orion Capsule,times the habitable space inside the Orion Capsule,Orion Capsules' worth of Habitable Space,Orion Capsules' worth of Habitable Space,Orion Capsules' worth of Habitable Space,9344.56
AmericanSchoolBus,liter,The volume of a school bus,times the volume of a school bus,School buses,School buses,School bus,47968.74
VolumeOfATridentIID5SubmarineLaunchedBallisticMissile,liter,The volume of a Trident II D-5 Submarine-Launched Ballistic Missile,times the volume of a Trident II D-5 Submarine-Launched Ballistic Missile,Trident II D-5 Submarine-Launched Ballistic Missiles,Trident II D-5 Submarine-Launched Ballistic Missiles,Trident II D-5 Submarine-Launched Ballistic Missile,187700
LockheedC5GalaxyPayloadVolume,liter,The payload capacity of a Lockheed C-5 Galaxy Military Transport Aircraft,times the payload capacity of a Lockheed C-5 Galaxy Military Transport Aircraft,Lockheed C-5 Galaxy Military Transport Aircrafts,Lockheed C-5 Galaxy Military Transport Aircrafts,Lockheed C-5 Galaxy Military Transport Aircraft,959941.10
VolumeOfAnOhioClassSubmarine,liter,The volume of an Ohio Class Submarine,times the volume of an Ohio Class Submarine,Ohio Class Submarines,Ohio Class Submarines,Ohio Class Submarine,19093578
VolumeOfNASAVehicleAssemblyBuilding,liter,The volume of the NASA Vehicle Assembly Building,times the volume of the NASA Vehicle Assembly Building,NASA Vehicle Assembly Buildings,NASA Vehicle Assembly Buildings,NASA Vehicle Assembly Building,3660000000
TotalVolumeOfAllAmericans,liter,The total combined volume of every American,times the total combined volume of every American,times the total combined volume of every American,total combined volumes of every American,total combined volume of every American,22524701191.10
TotalVolumeOfVenezuelanOilReserves,liter,The total combined volume of Venezuelan oil reserves,times the total combined volume of Venezuelan Oil Reserves,times the total combined volume of Venezuelan Oil Reserves,total volumes of Venezuelan Oil Reserves,total volume of Venezuelan Oil Reserves,48174422261543.40
TotalVolumeOfOilReservesInTheMiddleEast,liter,The total combined volume of oil reserves in the Middle East,times the total combined volume of oil reserves in the Middle East,times the total combined volume of oil reserves in the Middle East,total volumes of oil reserves in the Middle East,total volume of oil reserves in the Middle East,131180417045093
TotalVolumeOfWaterInAlaskaGlaciers,liter,The total combined volume of water in Alaska's glaciers,times the total combined volume of water in Alaska's glaciers,times the total combined volume of water in Alaska's glaciers,total volumes of water in Alaska's glaciers,total volume of water in Alaska's glaciers,16787520000000000
GolfBallVolumeM3,meterCubed,The volume of a golf ball,times the volume of a golf ball,golf balls,golf balls,golf ball,0.00004
